time,smaller,larger,outer,inner,updates
1.34,1,16009,16009,3,1
0.157,1,593,593,0,0
1.38,1,3684,3684,1,1
0.574,1,977,977,0,0
1.336,1,16009,16009,1,1
0.156,1,593,593,0,0
1.385,1,3684,3684,0,0
0.576,1,977,977,0,0
1.337,1,16009,16009,4,1
0.155,1,593,593,0,0
1.382,1,3684,3684,1,1
0.57,1,977,977,0,0
1.338,1,16009,16009,1,1
0.156,1,593,593,0,0
1.38,1,3684,3684,0,0
0.567,1,977,977,0,0
1.338,1,16009,16009,3,0
0.155,1,593,593,0,0
1.38,1,3684,3684,1,1
0.563,1,977,977,0,0
0.289,176,2079,176,222,189
0.197,192,21158,192,151,146
1.489,128,16009,16009,86,80
0.207,128,765,765,21,5
1.416,128,3684,3684,7,6
0.578,128,977,977,0,0
1.463,56,16009,16009,46,32
0.204,56,765,765,4,4
1.401,56,3684,3684,2,2
0.585,56,977,977,2,2
0.311,2,1102,1094,2,0
1.432,31,16009,16009,20,18
0.197,31,765,765,5,5
1.434,31,3684,3684,22,22
0.595,31,977,977,6,6
0.325,6,1124,1116,10,0
1.415,23,16009,16009,15,13
0.198,23,765,765,5,5
1.406,23,3684,3684,1,1
0.578,23,977,977,0,0
1.404,17,16009,16009,9,8
0.188,17,765,765,0,0
1.421,17,3684,3684,12,12
0.595,17,977,977,6,6
0.324,6,1137,1129,10,0
1.391,6,16009,16009,6,5
0.188,6,765,765,0,0
1.391,6,3684,3684,0,0
0.569,6,977,977,0,0
1.354,5,16009,16009,9,8
0.192,5,765,765,0,0
1.399,5,3684,3684,9,9
0.581,5,977,977,3,3
0.35,3,1146,1138,24,24
1.36,8,16009,16009,8,8
0.191,8,789,789,0,0
1.39,8,3684,3684,0,0
0.569,8,977,977,0,0
1.345,8,16009,16009,9,0
0.191,8,789,789,0,0
1.389,8,3684,3684,0,0
0.566,8,977,977,0,0
0.128,52,2096,52,84,38
0.077,62,21440,62,62,62
1.406,62,16009,16009,7,7
0.2,62,827,827,0,0
1.382,62,3684,3684,0,0
0.561,62,977,977,0,0
1.415,7,16009,16009,3,3
0.2,7,827,827,0,0
1.382,7,3684,3684,0,0
0.561,7,977,977,0,0
1.381,3,16009,16009,2,2
0.201,3,827,827,0,0
1.408,3,3684,3684,2,2
0.582,3,977,977,1,1
0.341,1,1148,1140,2,2
1.347,2,16009,16009,2,2
0.195,2,829,829,0,0
1.39,2,3684,3684,0,0
0.569,2,977,977,0,0
1.355,2,16009,16009,2,1
